dateTime,url,isSeries,name,originalName,year,isWatched,userVote,tmdbId
2026-01-13,https://www.kinopoisk.ru/film/866/,нет,Неуязвимый,Unbreakable,2000,да,7,9741
2026-01-13,https://www.kinopoisk.ru/film/6374/,нет,Авиатор,The Aviator,2004,да,8,2567
2026-01-09,https://www.kinopoisk.ru/film/823616/,нет,Финч,Finch,2021,да,7,522402
2026-01-08,https://www.kinopoisk.ru/film/472/,нет,Индиана Джонс и последний крестовый поход,Indiana Jones and the Last Crusade,1989,да,8,89
2026-01-06,https://www.kinopoisk.ru/film/6600202/,да,Друзья и соседи,Your Friends & Neighbors,2025,да,7,241609
2026-01-06,https://www.kinopoisk.ru/film/7122/,нет,Индиана Джонс и Храм судьбы,Indiana Jones and the Temple of Doom,1984,да,7,87
2026-01-05,https://www.kinopoisk.ru/film/339/,нет,Индиана Джонс: В поисках утраченного ковчега,Raiders of the Lost Ark,1981,да,8,85
2026-01-03,https://www.kinopoisk.ru/film/9997408/,да,Жаркое соперничество,Heated Rivalry,2025,да,8,301507
2026-01-03,https://www.kinopoisk.ru/film/915196/,да,Очень странные дела,Stranger Things,2016,да,8,66732
2025-12-12,https://www.kinopoisk.ru/film/5265603/,нет,Зверополис 2,Zootopia 2,2025,да,8,1084242
2025-11-09,https://www.kinopoisk.ru/film/195615/,нет,Механик,The Mechanic,2010,да,7,27582
2025-11-09,https://www.kinopoisk.ru/film/3447/,нет,Миссия: невыполнима 2,Mission: Impossible II,2000,да,6,955
2025-11-04,https://www.kinopoisk.ru/film/3961/,нет,Миссия: невыполнима,Mission: Impossible,1996,да,8,954
2025-11-02,https://www.kinopoisk.ru/film/5622/,нет,Сонная Лощина,Sleepy Hollow,1999,да,7,2668
2025-10-31,https://www.kinopoisk.ru/film/311268/,нет,Никогда не сдавайся,Never Back Down,2008,да,6,8456
2025-10-28,https://www.kinopoisk.ru/film/1289334/,нет,Голодные игры: Баллада о змеях и певчих птицах,The Hunger Games: The Ballad of Songbirds & Snakes,2023,да,7,695721
2025-10-27,https://www.kinopoisk.ru/film/426053/,нет,Ранго,Rango,2011,да,7,44896
2025-10-27,https://www.kinopoisk.ru/film/319/,нет,Терминатор 3: Восстание машин,Terminator 3: Rise of the Machines,2003,да,7,296
2025-10-22,https://www.kinopoisk.ru/film/930534/,нет,Сплит,Split,2017,да,7,381288
2025-10-18,https://www.kinopoisk.ru/film/444/,нет,Терминатор 2: Судный день,Terminator 2: Judgment Day,1991,да,8,280
2025-10-18,https://www.kinopoisk.ru/film/507/,нет,Терминатор,The Terminator,1984,да,7,218
2025-10-13,https://www.kinopoisk.ru/film/5212124/,нет,Собиратель душ,Longlegs,2023,да,6,1226578
2025-10-12,https://www.kinopoisk.ru/film/450289/,нет,Машина времени в джакузи,Hot Tub Time Machine,2010,да,6,23048
2025-10-08,https://www.kinopoisk.ru/film/505898/,нет,Аватар: Путь воды,Avatar: The Way of Water,2022,да,8,76600
2025-10-05,https://www.kinopoisk.ru/film/2053/,нет,Послезавтра,The Day After Tomorrow,2004,да,7,435
2025-10-05,https://www.kinopoisk.ru/film/49166/,нет,Коралина в Стране Кошмаров,Coraline,2008,да,8,14836
2025-10-03,https://www.kinopoisk.ru/film/413447/,нет,2012,2012,2009,да,7,14161
2025-10-02,https://www.kinopoisk.ru/film/180577/,нет,Девять,9,2009,да,7,12244
2025-09-24,https://www.kinopoisk.ru/film/685246/,да,Рик и Морти,Rick and Morty,2013,да,8,60625
2025-09-24,https://www.kinopoisk.ru/film/7103/,нет,Назад в будущее 3,Back to the Future Part III,1990,да,8,196
2025-09-23,https://www.kinopoisk.ru/film/1290942/,нет,Долгая прогулка,The Long Walk,2025,да,6,604079
2025-09-22,https://www.kinopoisk.ru/film/5502/,нет,Назад в будущее 2,Back to the Future Part II,1989,да,8,165
2025-09-18,https://www.kinopoisk.ru/film/4965740/,нет,Тогда. Сейчас. Потом,Here,2024,да,8,940139
2025-09-16,https://www.kinopoisk.ru/film/468940/,нет,Спасатели Малибу,Baywatch,2017,да,6,339846
2025-09-16,https://www.kinopoisk.ru/film/476/,нет,Назад в будущее,Back to the Future,1985,да,8,105
2025-09-16,https://www.kinopoisk.ru/film/409118/,нет,Храбрая сердцем,Brave,2012,да,7,62177
2025-09-14,https://www.kinopoisk.ru/film/1933/,нет,Голый пистолет 33 1/3: Последний выпад,Naked Gun 33 1/3: The Final Insult,1994,да,7,36593
2025-09-13,https://www.kinopoisk.ru/film/5277/,нет,Мулан,Mulan,1998,да,7,10674
2025-09-11,https://www.kinopoisk.ru/film/309/,нет,Эквилибриум,Equilibrium,2002,да,7,7299
2025-09-11,https://www.kinopoisk.ru/film/447301/,нет,Начало,Inception,2010,да,8,27205
2025-09-08,https://www.kinopoisk.ru/film/2388/,нет,Голый пистолет 2 1/2: Запах страха,The Naked Gun 2½: The Smell of Fear,1991,да,7,37137
2025-09-06,https://www.kinopoisk.ru/film/4067/,нет,Голый пистолет,The Naked Gun: From the Files of Police Squad!,1988,да,7,37136
2025-08-28,https://www.kinopoisk.ru/film/1047492/,нет,Балерина,Ballerina,2025,да,7,541671
2025-08-24,https://www.kinopoisk.ru/film/427198/,нет,Социальная сеть,The Social Network,2010,да,7,37799
2025-08-22,https://www.kinopoisk.ru/film/8224/,нет,Акира,Akira,1987,да,8,149
2025-08-19,https://www.kinopoisk.ru/film/5446941/,нет,Материалистка,Materialists,2025,да,6,1136867
2025-08-18,https://www.kinopoisk.ru/film/1192848/,нет,Букашки 2,Minuscule 2: Les mandibules du bout du monde,2018,да,7,513302
2025-08-17,https://www.kinopoisk.ru/film/708278/,нет,Букашки. Приключение в Долине муравьев,Minuscule: La vallée des fourmis perdues,2013,да,7,140870
2025-08-10,https://www.kinopoisk.ru/film/584/,нет,Адаптация,Adaptation.,2002,да,7,2757
2025-08-07,https://www.kinopoisk.ru/film/586260/,нет,Ральф,Wreck-It Ralph,2012,да,8,82690
2025-08-07,https://www.kinopoisk.ru/film/988782/,нет,Ральф против интернета,Ralph Breaks the Internet,2018,да,6,404368
